#####################################################################
# Alchemist log file - simulation started at: 2024-06-14T15:14+0000 #
#####################################################################
#
# seed = 3.0, spacing = 1, error = 0.5, globalRound = 14
#
# The columns have the following meaning: 
# time Reward[min] Reward[max] Reward[mean] Reward[variance] MeanDistance[min] MeanDistance[max] MeanDistance[mean] MeanDistance[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.1 NaN NaN NaN NaN NaN NaN NaN NaN
1.1 -1.0 -1.0 -1.0 0.0 0.9162019822265945 1.4652854279722043 1.0941478808532674 0.012359128592262604
2.1 -1.0 -1.0 -1.0 0.0 0.8977870025883863 1.4500631860083826 1.0825403674016134 0.011511090982090057
3.1 -1.0 -1.0 -1.0 0.0 0.8888186284663165 1.4230526957835206 1.070103473819058 0.01154537836106834
4.1 -1.0 -1.0 -1.0 0.0 0.8528802740459331 1.4230526957835206 1.0586750921062158 0.011928427279353018
5.1 -1.0 -1.0 -1.0 0.0 0.8731513130891738 1.4501288831079155 1.0578697131195842 0.012451649041121116
6.1 -1.0 -1.0 -1.0 0.0 0.8225546736222565 1.4402675812839543 1.0462174809334133 0.013271449138627515
7.1 -1.0 -1.0 -1.0 0.0 0.7556147388618852 1.4204423554521945 1.0361581583252362 0.01461996631156756
8.1 -1.0 -1.0 -1.0 0.0 0.7447712354987678 1.4106111672953612 1.0315042718975171 0.015082266132749038
9.1 -1.0 -1.0 -1.0 0.0 0.7228536325419073 1.4006344447591759 1.0268046419631836 0.016221738481943734
10.1 -1.0 -1.0 -1.0 0.0 0.7473893102289837 1.3570273676315217 1.0257361821204654 0.015446343879847287
11.1 -1.0 -1.0 -1.0 0.0 0.6942448337363525 1.3570273676315217 1.017172636036988 0.01688035924224188
12.1 -1.0 -1.0 -1.0 0.0 0.6576550535019002 1.3728932683490829 1.013330067732278 0.018687252907205364
13.1 -1.0 -1.0 -1.0 0.0 0.6606677256985707 1.3596607043470457 1.0136479242708918 0.019676217335329434
14.1 -1.0 -1.0 -1.0 0.0 0.6259618850756805 1.36837444845539 1.0054532122387703 0.020948757701157495
15.1 -1.0 -1.0 -1.0 0.0 0.5879873935032298 1.3628566833171505 0.9981261290045449 0.022529033383721933
16.1 -1.0 0.0 -0.97 0.02939393939393949 0.5500462525761144 1.3602156423742824 0.9921581653729504 0.023748781589481394
17.1 -1.0 0.0 -0.97 0.02939393939393949 0.5114879560639638 1.3602156423742824 0.9859417690557593 0.025829464414248885
18.1 -1.0 0.0 -0.96 0.03878787878787865 0.47639227297565084 1.3602156423742824 0.9797197348535539 0.02862634908692892
19.1 -1.0 0.0 -0.96 0.03878787878787865 0.4422487446401071 1.3602156423742824 0.9724016351915478 0.03152968220896305
20.1 -1.0 0.0 -0.96 0.03878787878787865 0.4228489885382828 1.360215642374282 0.9660919052025329 0.03413006195073312
21.1 -1.0 0.0 -0.9499999999999998 0.047979797979798275 0.3865606775728589 1.360215642374282 0.9588491306653962 0.037524060057838766
22.1 -1.0 0.0 -0.93 0.06575757575757589 0.37100199713095317 1.360215642374282 0.9526222553524165 0.04061750691244232
23.1 -1.0 0.0 -0.9400000000000001 0.05696969696969668 0.3442119629705931 1.38368160961481 0.9496844582045731 0.04321548820294233
24.1 -1.0 0.0 -0.9400000000000001 0.05696969696969668 0.345167307399415 1.4156273883682995 0.9504920109674545 0.04367936951148345
25.1 -1.0 0.0 -0.92 0.07434343434343452 0.32419415722947875 1.4156273883682993 0.9392905265853667 0.04568578351610787
26.1 -1.0 0.0 -0.92 0.07434343434343452 0.3191724993086795 1.4156273883682995 0.9332459498869043 0.047546880495175275
27.1 -1.0 0.0 -0.8999999999999999 0.09090909090909072 0.2916811681257012 1.4156273883682995 0.9272428546048035 0.0496343367907091
28.1 -1.0 0.0 -0.8999999999999999 0.09090909090909072 0.29446154522372553 1.4156273883682995 0.922833949835972 0.0512259586230266
29.1 -1.0 0.0 -0.88 0.10666666666666684 0.2919286260572152 1.4156273883682995 0.9191784083806492 0.052536256474000904
30.1 -1.0 0.0 -0.86 0.12161616161616197 0.2841597233071522 1.4156273883682995 0.9154023251539042 0.05530929072490329
31.1 -1.0 0.0 -0.8500000000000002 0.12878787878787815 0.2801753321877296 1.4156273883682995 0.9121658961466963 0.05716366675074189
32.1 -1.0 0.0 -0.8500000000000002 0.12878787878787815 0.24893387497455075 1.4156273883682997 0.9064880602614904 0.06203589469620374
33.1 -1.0 0.0 -0.8500000000000002 0.12878787878787815 0.22487545235756587 1.4156273883682995 0.9022122112347005 0.06524158322369454
