#####################################################################
# Alchemist log file - simulation started at: 2024-06-14T15:33+0000 #
#####################################################################
#
# seed = 5.0, spacing = 1, error = 0.5, globalRound = 4
#
# The columns have the following meaning: 
# time Reward[min] Reward[max] Reward[mean] Reward[variance] MeanDistance[min] MeanDistance[max] MeanDistance[mean] MeanDistance[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.1 NaN NaN NaN NaN NaN NaN NaN NaN
1.1 -1.0 -1.0 -1.0 0.0 0.8515718127793536 1.5324286292881215 1.0914818177390948 0.016749299621150918
2.1 -1.0 -1.0 -1.0 0.0 0.8050274273760671 1.5230192767116624 1.0731908971685702 0.01716214925150093
3.1 -1.0 -1.0 -1.0 0.0 0.754386842215476 1.5136623337778732 1.061466685527911 0.017904011244130515
4.1 -1.0 -1.0 -1.0 0.0 0.7278151239053287 1.5136623337778732 1.0451815569189657 0.01893970721078559
5.1 -1.0 -1.0 -1.0 0.0 0.7097142566395107 1.5466600020173409 1.046364932478881 0.020898205150536364
6.1 -1.0 0.0 -0.99 0.009999999999999992 0.6938333292239631 1.5914262453611485 1.0453415028332325 0.023076212616319407
7.1 -1.0 0.0 -0.99 0.009999999999999992 0.6811721669127582 1.582159139924756 1.0293503713400767 0.024106625705155798
8.1 -1.0 0.0 -0.98 0.01979797979797976 0.6649437675588296 1.545441753827052 1.0289993883413948 0.024228638299018657
9.1 -1.0 0.0 -0.97 0.02939393939393947 0.63424939192376 1.5448086360847273 1.027950460523086 0.02503100557829333
10.1 -1.0 -1.0 -1.0 0.0 0.646631311537541 1.5250172767565668 1.0268708266495574 0.024810422846317688
11.1 -1.0 -1.0 -1.0 0.0 0.6034490903267431 1.515413603022917 1.0118345655178957 0.026849437892580957
12.1 -1.0 0.0 -0.99 0.009999999999999992 0.5583531654712746 1.479512628977116 0.9929533620372105 0.028845072181382443
13.1 -1.0 0.0 -0.99 0.009999999999999992 0.5464296088110687 1.4734272168380864 0.9919819574808492 0.030847129523646415
14.1 -1.0 0.0 -0.99 0.009999999999999992 0.5579324221464231 1.4265338619372692 0.9864813624941672 0.030856570195791404
15.1 -1.0 0.0 -0.97 0.029393939393939462 0.49935442782350375 1.4265338619372692 0.9665179241979704 0.0357417753839069
16.1 -1.0 0.0 -0.97 0.029393939393939462 0.4376986150722601 1.4265338619372692 0.952148665443161 0.04134787486205706
17.1 -1.0 0.0 -0.97 0.029393939393939462 0.4675373024866136 1.418193214888872 0.9526333031590426 0.03947908470555688
18.1 -1.0 0.0 -0.96 0.03878787878787869 0.46568477578602285 1.4816208559763262 0.9496174775664965 0.04076948105651288
19.1 -1.0 0.0 -0.98 0.019797979797979762 0.4768466907962039 1.4569583693819066 0.9544393113963778 0.039961572920097076
20.1 -1.0 0.0 -0.98 0.019797979797979762 0.4395917761537073 1.4569583693819066 0.9326808879386301 0.044336232706489946
21.1 -1.0 0.0 -0.96 0.03878787878787866 0.4378474447076998 1.4873019997646941 0.92613557501282 0.046385862105366986
22.1 -1.0 0.0 -0.9299999999999999 0.06575757575757585 0.4668627170017471 1.4873019997646941 0.907386760465368 0.04854760554332782
23.1 -1.0 0.0 -0.94 0.05696969696969674 0.4345405947928379 1.448401588257556 0.9124447341999902 0.0478549654175283
24.1 -1.0 0.0 -0.94 0.05696969696969676 0.463700039749723 1.4276806245072955 0.9140890817167779 0.04910626373628927
25.1 -1.0 0.0 -0.96 0.038787878787878705 0.4708168064428341 1.4441379617344232 0.9154619656976747 0.04817091231120722
26.1 -1.0 0.0 -0.96 0.03878787878787867 0.4866422553896143 1.460405266684191 0.9194206325229403 0.04854228173001389
27.1 -1.0 0.0 -0.96 0.038787878787878705 0.510479493950403 1.511590041509903 0.9218593790123026 0.046162947263638725
28.1 -1.0 0.0 -0.96 0.0387878787878787 0.4588170650391373 1.4900277635570065 0.9010158286920102 0.04815790421615557
29.1 -1.0 0.0 -0.92 0.07434343434343449 0.44616014951581756 1.4528819887858266 0.8979088732413412 0.04740851278930826
30.1 -1.0 0.0 -0.9299999999999999 0.06575757575757585 0.44961779105301225 1.4222367185062175 0.894746044315861 0.04795041794259158
31.1 -1.0 0.0 -0.9 0.09090909090909076 0.4521361476878603 1.3949185438534908 0.8933116777359681 0.0487485812433004
32.1 -1.0 0.0 -0.9099999999999999 0.08272727272727277 0.4309742019749564 1.4419142353462793 0.8989618447915102 0.04873972318008444
33.1 -1.0 0.0 -0.8699999999999999 0.11424242424242403 0.44327192540337335 1.4112311751229387 0.896785181162766 0.0485619258335541
