#####################################################################
# Alchemist log file - simulation started at: 2024-06-14T15:10+0000 #
#####################################################################
#
# seed = 4.0, spacing = 1, error = 0.5, globalRound = 4
#
# The columns have the following meaning: 
# time Reward[min] Reward[max] Reward[mean] Reward[variance] MeanDistance[min] MeanDistance[max] MeanDistance[mean] MeanDistance[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.1 NaN NaN NaN NaN NaN NaN NaN NaN
1.1 -1.0 -1.0 -1.0 0.0 0.9235127076176415 1.738020625300684 1.104724733688087 0.01606666367224416
2.1 -1.0 -1.0 -1.0 0.0 0.9282695685687985 1.7669410480828946 1.1085256826402627 0.016206636703743952
3.1 -1.0 -1.0 -1.0 0.0 0.9288725152859619 1.780097533795174 1.106576106101975 0.016262107893281304
4.1 -1.0 -1.0 -1.0 0.0 0.9009060737758435 1.7819537666985532 1.1037904427298535 0.01649523497485018
5.1 -1.0 -1.0 -1.0 0.0 0.88978017599815 1.8519415049627241 1.1046275496841564 0.019015630726173027
6.1 -1.0 -1.0 -1.0 0.0 0.8804947555207372 1.832559525344808 1.1013610593104937 0.019450303441170057
7.1 -1.0 -1.0 -1.0 0.0 0.8623919004916338 1.7935930513412242 1.0975626291888152 0.020657316725418415
8.1 -1.0 -1.0 -1.0 0.0 0.8540054262692655 1.7940888471622238 1.0991179509262885 0.021622564144656454
9.1 -1.0 -1.0 -1.0 0.0 0.8575554107338332 1.8102008231391196 1.0948791970050586 0.02207070159208279
10.1 -1.0 -1.0 -1.0 0.0 0.8502216597997074 1.7861872126356773 1.0935275137758782 0.022475706527650127
11.1 -1.0 -1.0 -1.0 0.0 0.8595989912174018 1.7886891177702189 1.0961247290184024 0.024492116904500937
12.1 -1.0 -1.0 -1.0 0.0 0.8178151957392847 1.781103701066699 1.0976768784915008 0.025229219644067564
13.1 -1.0 -1.0 -1.0 0.0 0.8277578729221542 1.7829985976618417 1.097780075485501 0.0252458829013666
14.1 -1.0 -1.0 -1.0 0.0 0.8290441392178731 1.8180526904275354 1.0950797155830687 0.02576650425163364
15.1 -1.0 -1.0 -1.0 0.0 0.7869013081571105 1.8411454364705648 1.090944668327454 0.02912656299452332
16.1 -1.0 -1.0 -1.0 0.0 0.7426614184127882 1.8217046347510628 1.0745079886269089 0.028706575289600945
17.1 -1.0 -1.0 -1.0 0.0 0.6806807922457924 1.8397562688535334 1.0767298547312723 0.031817482023871704
18.1 -1.0 -1.0 -1.0 0.0 0.6347376655658266 1.8341872376207753 1.062626371847248 0.032870826741522634
19.1 -1.0 0.0 -0.99 0.009999999999999995 0.6439759851731814 1.784555330019979 1.0624831844739697 0.033555327364242535
20.1 -1.0 -1.0 -1.0 0.0 0.6378574529030411 1.7991060237257415 1.058868673901967 0.03721192813551503
21.1 -1.0 -1.0 -1.0 0.0 0.6633845979082418 1.7494266492558843 1.0591406692719016 0.033946301979058825
22.1 -1.0 -1.0 -1.0 0.0 0.6327965347498257 1.723430033776491 1.042966969026731 0.03388588976950861
23.1 -1.0 -1.0 -1.0 0.0 0.579404326499456 1.7075623084045624 1.0300680645850686 0.034209452288041405
24.1 -1.0 0.0 -0.98 0.019797979797979752 0.5774361759123792 1.7319760700305893 1.0271087303493887 0.034368447576107124
25.1 -1.0 0.0 -0.99 0.00999999999999999 0.6165961506803512 1.754465630083752 1.0280347157420897 0.03362302572894896
26.1 -1.0 0.0 -0.99 0.009999999999999995 0.5773453827062422 1.7446185338388844 1.009988175086616 0.03575680787971222
27.1 -1.0 0.0 -0.97 0.029393939393939427 0.5772518033713595 1.6892271845831943 1.008587181493008 0.03438676700461532
28.1 -1.0 0.0 -0.99 0.009999999999999995 0.5545097891000348 1.7270945557649484 1.0037045135901714 0.035181330875767636
29.1 -1.0 0.0 -0.98 0.019797979797979773 0.5776624034528274 1.6922467860075414 1.0062021268815018 0.033187639794769956
30.1 -1.0 0.0 -0.99 0.009999999999999995 0.5775020568186202 1.6770181736371819 1.0048157292098063 0.03357330992456593
31.1 -1.0 0.0 -0.99 0.009999999999999995 0.5315241673776077 1.6731334507935476 0.9870424876922264 0.03601230707049078
32.1 -1.0 0.0 -0.99 0.009999999999999995 0.5462960816337062 1.6151737828833135 0.98213764178681 0.036276875170560385
33.1 -1.0 0.0 -0.99 0.009999999999999995 0.5751586874745257 1.614590070556639 0.9815305613220723 0.03774302247399662
34.1 -1.0 0.0 -0.99 0.009999999999999995 0.5769240696463875 1.603792262755766 0.9771841514786045 0.037737256110566206
