#####################################################################
# Alchemist log file - simulation started at: 2024-06-14T13:15+0000 #
#####################################################################
#
# seed = 1.0, spacing = 1, error = 0.5, globalRound = 9
#
# The columns have the following meaning: 
# time Reward[min] Reward[max] Reward[mean] Reward[variance] MeanDistance[min] MeanDistance[max] MeanDistance[mean] MeanDistance[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.1 NaN NaN NaN NaN NaN NaN NaN NaN
1.1 -2.1467232646293857 -0.8110012042567396 -1.1623627412540567 0.05442943423990576 0.8750094838372195 1.6294571541001635 1.09193464602797 0.015306460645587959
2.1 -2.0467409304183386 -0.7774514028824708 -1.1281069600679408 0.05179249156479387 0.8582183778644709 1.5895061965358983 1.0706019543319694 0.015555400823782541
3.1 -2.1467232646293857 -0.76663475535716 -1.1454354283032688 0.05182826554610568 0.8554955017851322 1.6115439043376452 1.0735426505532866 0.016137436936568546
4.1 -2.0467409304183386 -0.7301351869113748 -1.1015630220090626 0.04874231581738318 0.8225186073058378 1.571700250359256 1.0541036183188863 0.01585838596189985
5.1 -2.032883034638021 -0.6986188663545463 -1.1188645348031114 0.04893402435615951 0.7799508108874311 1.5386658112865148 1.05679768926243 0.01693718506129995
6.1 -1.9467602418717662 -0.6986188663545463 -1.0800340274632327 0.04900561000600773 0.7487407076150021 1.51516125340682 1.0381075235803519 0.017691449913934273
7.1 -1.9467602418717662 -0.6986188663545463 -1.0578610633190508 0.04568871733482344 0.7083062040477184 1.4952744041571138 1.0166182264282642 0.020046041568274366
8.1 -1.921620836365338 -0.6432823149686318 -1.0415629167702465 0.04253802835465155 0.6837054584890528 1.4703733311494636 0.9999904325043167 0.021102775301370814
9.1 -1.9463372643512644 -0.595207455944903 -1.0424276882200745 0.04401164401191273 0.6718071830674335 1.5098602127511442 0.9982684089461783 0.02214662064088573
10.1 -1.9463372643512644 -0.6387207356707334 -1.021216107006269 0.04144642872748382 0.6251066370642254 1.5098602127511442 0.9807846994152926 0.023035144839473075
11.1 -1.9463372643512644 -0.49949439839449367 -1.00013385090302 0.04407660676185819 0.5873406932251252 1.5098602127511442 0.9622272969839586 0.024879416513827468
12.1 -1.8463377971408164 -0.5038381661742759 -0.9772566266899958 0.04549492154564277 0.5734607887777345 1.4699537089651773 0.9413967531208836 0.02651960185581992
13.1 -1.8378452389709985 -0.4208718257460043 -0.9618827971594541 0.047824359314022624 0.5569426959755701 1.45708208151168 0.924261472940368 0.029453873594679346
14.1 -1.7269980656248791 -0.34366854226337734 -0.9418472383842336 0.05153548397651594 0.4955098070137506 1.4048806742531517 0.9003562444665739 0.03286484708592946
15.1 -1.6162681167292687 -0.34366854226337734 -0.9207458315793211 0.05206592303042762 0.4472865118899749 1.3550618486779025 0.8773364129290252 0.03682675846270942
16.1 -1.6162681167292687 -0.3139552079640668 -0.8951402157744561 0.05719161898005085 0.38910820637783794 1.3444123341481364 0.8502232039955628 0.04206786825587905
17.1 -1.5056782225181113 -0.2806674272669336 -0.8704102585686633 0.06145558141262584 0.35111322705539716 1.358183740228998 0.8256721683964326 0.04833590097133172
18.1 -1.5056782225181113 -0.2735408376210141 -0.8535984216415362 0.062405640509917294 0.3083761983418157 1.3335598482512456 0.7998187496593882 0.05243212142554338
19.1 -1.4250773653798003 -0.2847979710099334 -0.837498320347959 0.06577431375957908 0.2623106466349996 1.3225180881330476 0.773335977742015 0.05809202392344313
20.1 -1.4250773653798003 -0.31250079753516874 -0.8154780443041731 0.06393181159296717 0.2171080734969244 1.3265016706730042 0.7480386355267183 0.06226660586407937
21.1 -1.4250773653798003 -0.30910657468986774 -0.7995272879469881 0.06972089245990125 0.1904480287990581 1.3205446821523492 0.7210944350895395 0.06895541971578202
22.1 -1.367190413561137 -0.22446241781168969 -0.7774202064965106 0.07602112790032405 0.16648504834091288 1.30826515865866 0.6930763646782847 0.07483915471022043
23.1 -1.3600047525825265 -0.17899338429835704 -0.7538314272456559 0.07329193356135927 0.1589190721102695 1.3515666133932212 0.6670648990172936 0.08009168432635104
24.1 -1.3600047525825265 -0.08064534221842057 -0.7228744943412663 0.08211615321688794 0.13227232016720064 1.3515666133932212 0.6436410571651147 0.08500787459632059
25.1 -1.3600047525825265 -0.14278547082982307 -0.6941038578670446 0.09017341381405795 0.12437648310063534 1.3515666133932212 0.6148014900547929 0.09225804081142241
26.1 -1.319395521750538 -0.10321136902504352 -0.6569836465450414 0.09898567185510951 0.09745730194498523 1.3536665989455965 0.5854388664320289 0.09864729813877983
