#####################################################################
# Alchemist log file - simulation started at: 2024-06-14T15:32+0000 #
#####################################################################
#
# seed = 3.0, spacing = 1, error = 0.5, globalRound = 6
#
# The columns have the following meaning: 
# time Reward[min] Reward[max] Reward[mean] Reward[variance] MeanDistance[min] MeanDistance[max] MeanDistance[mean] MeanDistance[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.1 NaN NaN NaN NaN NaN NaN NaN NaN
1.1 -1.0 -1.0 -1.0 0.0 0.9419575583346838 1.5670316996673854 1.1128376504731836 0.012743899221235467
2.1 -1.0 -1.0 -1.0 0.0 0.9180004676794274 1.5977132560604534 1.1154206925266599 0.013550105513735962
3.1 -1.0 -1.0 -1.0 0.0 0.9216916256295132 1.587714109513093 1.0982647060674793 0.012539121789504375
4.1 -1.0 -1.0 -1.0 0.0 0.9152164583267686 1.5178260195850188 1.0990166615430788 0.011958358551170412
5.1 -1.0 -1.0 -1.0 0.0 0.8925896658527404 1.460361396381262 1.0980205090288784 0.011389764770906943
6.1 -1.0 -1.0 -1.0 0.0 0.892999130970192 1.475644207233892 1.083288880346379 0.011167111399268279
7.1 -1.0 -1.0 -1.0 0.0 0.8657829292106587 1.4898037282323902 1.065743703701915 0.011759000315487067
8.1 -1.0 -1.0 -1.0 0.0 0.8313240563523248 1.5026330104826298 1.051028428265685 0.012531756969758955
9.1 -1.0 -1.0 -1.0 0.0 0.7898647790504395 1.513274217257026 1.0399000014180897 0.014369086956415906
10.1 -1.0 -1.0 -1.0 0.0 0.7418757300710882 1.5308043207417128 1.0265482182584809 0.016310766440615333
11.1 -1.0 -1.0 -1.0 0.0 0.68854960363984 1.5251312788360303 1.0153279124775063 0.01838460823757903
12.1 -1.0 0.0 -0.99 0.009999999999999992 0.6475282116953014 1.5385013414042628 0.9997620611843714 0.02118798144186635
13.1 -1.0 0.0 -0.98 0.019797979797979762 0.6097312292581991 1.5332385557339185 0.9880123540415897 0.02288562245052295
14.1 -1.0 0.0 -0.99 0.009999999999999992 0.5717666150702764 1.4804737452609031 0.983956323362598 0.02385719271581956
15.1 -1.0 0.0 -0.98 0.01979797979797978 0.581300499061249 1.476404552543357 0.9883695945933118 0.02430960703455254
16.1 -1.0 0.0 -0.95 0.047979797979798004 0.5345723225941487 1.4954589373399292 0.9713184941317264 0.02716574780587244
17.1 -1.0 0.0 -0.96 0.03878787878787873 0.5534193088572575 1.5117378554273855 0.9718679484069019 0.026206278632003834
18.1 -1.0 0.0 -0.95 0.047979797979798115 0.5037711748222751 1.4941653421420167 0.95193206618999 0.02924958170964867
19.1 -1.0 0.0 -0.96 0.03878787878787873 0.4964209416894338 1.5136479461052765 0.9550912775053573 0.02974772931168739
20.1 -1.0 0.0 -0.96 0.03878787878787873 0.4821709744528905 1.4909403237014132 0.9553737967824256 0.02951043762726809
21.1 -1.0 0.0 -0.95 0.047979797979798004 0.4613559718947776 1.518250389436381 0.9398110899432894 0.03140437626019157
22.1 -1.0 0.0 -0.96 0.03878787878787873 0.4235332348604171 1.5060766797219143 0.941033263469103 0.03347939625481144
23.1 -1.0 0.0 -0.9299999999999999 0.06575757575757576 0.41767652412616485 1.527380784759869 0.9228772322237483 0.035314229797881354
24.1 -1.0 0.0 -0.92 0.0743434343434344 0.39993184119709824 1.4743766338425346 0.9193321906586004 0.03627455901550682
25.1 -1.0 0.0 -0.94 0.056969696969696865 0.40925063916410254 1.492650448886809 0.9191844639738422 0.03814424102030031
26.1 -1.0 0.0 -0.92 0.07434343434343442 0.40720661665748875 1.4954177681476346 0.9233449396875265 0.03953321211491669
27.1 -1.0 0.0 -0.9 0.09090909090909076 0.3635148801558824 1.5564804075709158 0.9205295792692587 0.04288137169941469
28.1 -1.0 0.0 -0.8899999999999999 0.09888888888888903 0.37454662956425844 1.5214478644799017 0.9200168070257824 0.040931568442425695
29.1 -1.0 0.0 -0.87 0.11424242424242402 0.3513846369060847 1.5466546118201567 0.8966014317707472 0.04292650630748096
30.1 -1.0 0.0 -0.8400000000000001 0.1357575757575761 0.3382951942446146 1.5634604761381463 0.8770975202941249 0.044609835330694465
31.1 -1.0 0.0 -0.88 0.1066666666666668 0.3695077216753699 1.5746839303798592 0.8781571503414394 0.04519206374618261
32.1 -1.0 0.0 -0.8600000000000001 0.12161616161616177 0.32728051376561884 1.5728083782070374 0.8527282735114161 0.04871701515712293
33.1 -1.0 0.0 -0.8 0.1616161616161613 0.3037232111160352 1.5762169615308366 0.831282306810961 0.05106489801959485
