#####################################################################
# Alchemist log file - simulation started at: 2024-06-14T15:11+0000 #
#####################################################################
#
# seed = 2.0, spacing = 1, error = 0.5, globalRound = 6
#
# The columns have the following meaning: 
# time Reward[min] Reward[max] Reward[mean] Reward[variance] MeanDistance[min] MeanDistance[max] MeanDistance[mean] MeanDistance[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.1 NaN NaN NaN NaN NaN NaN NaN NaN
1.1 -1.0 -1.0 -1.0 0.0 0.931601408705124 1.6353082671284482 1.1093985404832263 0.017530080591856782
2.1 -1.0 -1.0 -1.0 0.0 0.9107441561781217 1.6291674695740883 1.1087902571949302 0.018630777322185647
3.1 -1.0 -1.0 -1.0 0.0 0.8598778399055738 1.5862353675534622 1.0924961425026025 0.01709920217145962
4.1 -1.0 -1.0 -1.0 0.0 0.8157077493248759 1.5862353675534624 1.0786316283530692 0.015754211046042802
5.1 -1.0 -1.0 -1.0 0.0 0.7955889873477716 1.576131341640313 1.0796474464470223 0.015851211986453263
6.1 -1.0 -1.0 -1.0 0.0 0.8097256786837799 1.5777081318621449 1.0786408496018316 0.016023225099366104
7.1 -1.0 -1.0 -1.0 0.0 0.8166179793121167 1.6330257394026098 1.0770134069189303 0.018895760086440214
8.1 -1.0 -1.0 -1.0 0.0 0.840503372831645 1.6186106501262096 1.0761367243227653 0.018323047642809922
9.1 -1.0 -1.0 -1.0 0.0 0.8146896994101717 1.5964232216476888 1.0626769569516212 0.017582552255208106
10.1 -1.0 0.0 -0.99 0.00999999999999999 0.7821855977842682 1.5742589333547128 1.0501051097313283 0.017338002406246403
11.1 -1.0 0.0 -0.99 0.00999999999999999 0.7922472012303193 1.5485224948478724 1.048948106350807 0.018163029433139855
12.1 -1.0 -1.0 -1.0 0.0 0.7927669738979266 1.5172164975688274 1.053447918439135 0.01796823962901703
13.1 -1.0 0.0 -0.99 0.00999999999999999 0.7582681220342453 1.5339555941387402 1.0538883833912533 0.02085370605598227
14.1 -1.0 -1.0 -1.0 0.0 0.7550471362501994 1.5757616587621572 1.052583157336736 0.02289248487465198
15.1 -1.0 -1.0 -1.0 0.0 0.7383935165629919 1.5212722423470426 1.0487312238809796 0.02257859293938254
16.1 -1.0 0.0 -0.99 0.00999999999999999 0.736653611123494 1.5212722423470428 1.0325578361197902 0.023260149372001215
17.1 -1.0 0.0 -0.98 0.01979797979797976 0.6922350839221092 1.521272242347043 1.0166559795831516 0.025490897058533354
18.1 -1.0 0.0 -0.99 0.00999999999999999 0.6916399844774425 1.4926658060140332 1.0167233241517335 0.02525647857319954
19.1 -1.0 0.0 -0.98 0.01979797979797976 0.6513917989237828 1.4926658060140334 1.004338355031796 0.02608263454580716
20.1 -1.0 0.0 -0.98 0.01979797979797976 0.6058902469583837 1.4926658060140334 0.9955409243415712 0.028649663709662213
21.1 -1.0 0.0 -0.98 0.01979797979797976 0.5929265484870976 1.4619813814133198 0.9945195506599879 0.028425980043721842
22.1 -1.0 0.0 -0.98 0.01979797979797976 0.5937372907897291 1.491792136641769 0.9940382767193141 0.029241184328555186
23.1 -1.0 0.0 -0.9700000000000001 0.029393939393939507 0.543981303661762 1.4674760665133268 0.9786832934246691 0.03140563090107485
24.1 -1.0 0.0 -0.96 0.038787878787878635 0.5263446344700967 1.4864329891202226 0.9792649535481837 0.031943733551595764
25.1 -1.0 0.0 -0.95 0.0479797979797982 0.4888933132875522 1.4864329891202226 0.9634398490030824 0.035049649487374504
26.1 -1.0 0.0 -0.94 0.05696969696969676 0.45368680726718225 1.4864329891202226 0.9485617501415002 0.038670156371970646
27.1 -1.0 0.0 -0.94 0.05696969696969676 0.42448196238130487 1.4864329891202226 0.9365603134238647 0.04230739477857606
28.1 -1.0 0.0 -0.94 0.05696969696969676 0.4552441846076807 1.5280002628888147 0.9398933163904554 0.041641802708784016
29.1 -1.0 0.0 -0.9299999999999999 0.06575757575757585 0.4220110439247652 1.5280002628888147 0.9220091316907194 0.045800529396713335
30.1 -1.0 0.0 -0.94 0.05696969696969676 0.4449985524098027 1.5745707246574752 0.917835111884125 0.04637404760591367
31.1 -1.0 0.0 -0.8800000000000001 0.10666666666666684 0.4070829976906338 1.5745707246574752 0.8973194265546168 0.04972498623315535
32.1 -1.0 0.0 -0.8699999999999999 0.11424242424242398 0.3830765402301309 1.5646306625462274 0.8804794602639393 0.052028536524090375
33.1 -1.0 0.0 -0.83 0.1425252525252527 0.3680872111177214 1.5646306625462274 0.8660028178101812 0.0553043034630938
