#####################################################################
# Alchemist log file - simulation started at: 2024-06-14T15:06+0000 #
#####################################################################
#
# seed = 2.0, spacing = 1, error = 0.5, globalRound = 5
#
# The columns have the following meaning: 
# time Reward[min] Reward[max] Reward[mean] Reward[variance] MeanDistance[min] MeanDistance[max] MeanDistance[mean] MeanDistance[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.1 NaN NaN NaN NaN NaN NaN NaN NaN
1.1 -1.0 -1.0 -1.0 0.0 0.931601408705124 1.6353082671284482 1.1093985404832263 0.017530080591856782
2.1 -1.0 -1.0 -1.0 0.0 0.9107441561781217 1.6291674695740883 1.1087902571949302 0.018630777322185647
3.1 -1.0 -1.0 -1.0 0.0 0.8877105973494018 1.5771967220373582 1.0908515682766065 0.01784874534161716
4.1 -1.0 -1.0 -1.0 0.0 0.8561848965444933 1.544039836479617 1.074447493520181 0.018196540454542456
5.1 -1.0 -1.0 -1.0 0.0 0.8413524569932734 1.533713649168508 1.0751538905032405 0.018212370899784135
6.1 -1.0 -1.0 -1.0 0.0 0.8546982838123117 1.5342371685111922 1.075021339562624 0.018481438402273224
7.1 -1.0 -1.0 -1.0 0.0 0.8423704629880007 1.58957551031736 1.073676525014587 0.02103332257615883
8.1 -1.0 -1.0 -1.0 0.0 0.8508902549857057 1.5767177399903463 1.0726234183245345 0.02059528815975094
9.1 -1.0 -1.0 -1.0 0.0 0.8122025981026774 1.5345088108547593 1.0555452355054524 0.02023085347046533
10.1 -1.0 0.0 -0.99 0.00999999999999999 0.767949542205572 1.5121397419134204 1.0378382639389647 0.02112719935585201
11.1 -1.0 -1.0 -1.0 0.0 0.766726252246676 1.4857668713235406 1.0382791101072075 0.021268490065196963
12.1 -1.0 -1.0 -1.0 0.0 0.7586619990289144 1.4556013247561237 1.0434043878305266 0.020921546863403875
13.1 -1.0 -1.0 -1.0 0.0 0.7444146725451013 1.497393159920092 1.0420795258216788 0.025075595930927654
14.1 -1.0 0.0 -0.99 0.00999999999999999 0.7518761565607054 1.5341470681353917 1.0417196411423 0.02721059493827228
15.1 -1.0 0.0 -0.99 0.00999999999999999 0.7253173945698851 1.5556357595737798 1.0394992722241927 0.026550687777407517
16.1 -1.0 0.0 -0.99 0.00999999999999999 0.6716810078073948 1.4820378005181352 1.0222140515026064 0.026431849137201924
17.1 -1.0 0.0 -0.98 0.01979797979797976 0.6553613511403327 1.4635700082639165 1.0051175194811643 0.027763842004250805
18.1 -1.0 0.0 -0.99 0.00999999999999999 0.6804857987661842 1.4248763403432545 1.0052528393181832 0.025939149004078565
19.1 -1.0 0.0 -0.98 0.01979797979797976 0.6722474113457527 1.4481338765464868 1.005130776630058 0.02747224182733072
20.1 -1.0 0.0 -0.98 0.01979797979797976 0.6655009081982283 1.4807159362580706 1.001612810725629 0.027374805670359527
21.1 -1.0 0.0 -0.98 0.01979797979797976 0.6557452889653896 1.4207274289249008 0.9991396150005912 0.02557938452540113
22.1 -1.0 0.0 -0.98 0.01979797979797976 0.6420257261491968 1.4843002181359481 0.9934555329048695 0.026246233183291855
23.1 -1.0 0.0 -0.99 0.00999999999999999 0.6253275601741194 1.508758822918161 0.9918722747240646 0.026855598974811375
24.1 -1.0 0.0 -0.99 0.00999999999999999 0.6467271371869164 1.5767849997872454 0.9914294849153508 0.02816612942007919
25.1 -1.0 0.0 -0.99 0.00999999999999999 0.638936883857025 1.5274820012452526 0.9903789995931712 0.027756906658538534
26.1 -1.0 -1.0 -1.0 0.0 0.6124970341683135 1.555139001144909 0.9898156060710434 0.027729937208249737
27.1 -1.0 0.0 -0.98 0.01979797979797976 0.5843446329344234 1.5403835938001853 0.9689849781107505 0.028091231940108843
28.1 -1.0 0.0 -0.97 0.029393939393939444 0.549345414130058 1.528787535726399 0.9470814327381636 0.030159279255019242
29.1 -1.0 0.0 -0.95 0.047979797979798205 0.5128938672613375 1.5064573206794996 0.9275280752262448 0.032001070722351005
30.1 -1.0 0.0 -0.9299999999999999 0.06575757575757585 0.5026259047568006 1.454856042240191 0.9303712874450297 0.03272238513782841
31.1 -1.0 0.0 -0.96 0.03878787878787869 0.5330577008994746 1.4951253528454602 0.9320245807380811 0.032728341488750826
32.1 -1.0 0.0 -0.97 0.02939393939393947 0.555686089864403 1.5411583227310328 0.937689241003894 0.031144510022665804
33.1 -1.0 0.0 -0.97 0.02939393939393948 0.5514750347459326 1.593420460497327 0.9359858851200401 0.03051529993703463
34.1 -1.0 0.0 -0.94 0.056969696969696705 0.5060796028957772 1.5658166062210643 0.9050036009644647 0.03273163967786951
