#####################################################################
# Alchemist log file - simulation started at: 2024-06-14T15:49+0000 #
#####################################################################
#
# seed = 1.0, spacing = 1, error = 0.5, globalRound = 6
#
# The columns have the following meaning: 
# time Reward[min] Reward[max] Reward[mean] Reward[variance] MeanDistance[min] MeanDistance[max] MeanDistance[mean] MeanDistance[variance] 
0.0 NaN NaN NaN NaN NaN NaN NaN NaN
0.1 NaN NaN NaN NaN NaN NaN NaN NaN
1.1 -1.0 -1.0 -1.0 0.0 0.8947259983341496 1.6638156387083858 1.1125578330358965 0.01708880922878998
2.1 -1.0 -1.0 -1.0 0.0 0.8980537235680306 1.6253142079721132 1.1125119636992156 0.01619301175059387
3.1 -1.0 -1.0 -1.0 0.0 0.8936911006693128 1.5904793072519905 1.1077269909200647 0.015839938510774334
4.1 -1.0 -1.0 -1.0 0.0 0.895842326003417 1.6285593995640884 1.1050664401396888 0.015964803398590167
5.1 -1.0 -1.0 -1.0 0.0 0.8796978473550767 1.6194983858559873 1.0900834065893872 0.014482564742353111
6.1 -1.0 -1.0 -1.0 0.0 0.8575240702952336 1.6292408875860491 1.0944815016121276 0.015045836664242753
7.1 -1.0 -1.0 -1.0 0.0 0.8453767189291332 1.6865205304191222 1.091081762092938 0.01580856256753562
8.1 -1.0 -1.0 -1.0 0.0 0.8481152959186842 1.6856429793087464 1.0790686100081752 0.01612921100615986
9.1 -1.0 -1.0 -1.0 0.0 0.873876971681196 1.7180834462699441 1.0846358236752616 0.01734773357534615
10.1 -1.0 -1.0 -1.0 0.0 0.8505202061381979 1.709667868712828 1.086881363421627 0.01769485002640885
11.1 -1.0 -1.0 -1.0 0.0 0.8113460943582129 1.7179644059566104 1.0747240558325146 0.018948720228597744
12.1 -1.0 -1.0 -1.0 0.0 0.799855239060915 1.7116958732047363 1.0738140649833803 0.02002493586464456
13.1 -1.0 -1.0 -1.0 0.0 0.7572707373257688 1.7112734655061081 1.0577321014706946 0.021156209656663143
14.1 -1.0 -1.0 -1.0 0.0 0.7135126527095412 1.7112611566016043 1.0466671540526546 0.023162119228125205
15.1 -1.0 -1.0 -1.0 0.0 0.678001347406207 1.7012759332766527 1.0375890729304935 0.025383407956458975
16.1 -1.0 -1.0 -1.0 0.0 0.6524214871414331 1.7012630976156398 1.0268292290918288 0.027555521130175665
17.1 -1.0 -1.0 -1.0 0.0 0.6685148246657778 1.7012940340674674 1.0251488855690754 0.029077690295433983
18.1 -1.0 -1.0 -1.0 0.0 0.6301743856033427 1.6847875122250549 1.0262249892219069 0.02968665312281675
19.1 -1.0 -1.0 -1.0 0.0 0.6323099753291597 1.6610961488064597 1.0267104688588486 0.029414968806788254
20.1 -1.0 -1.0 -1.0 0.0 0.6336718713118452 1.6610806623381051 1.0142861413750448 0.030544789886225297
21.1 -1.0 -1.0 -1.0 0.0 0.6258993952715592 1.7099124688729865 1.0156600379423415 0.032563278046977895
22.1 -1.0 -1.0 -1.0 0.0 0.6303146947615542 1.7160088379125036 1.0187400253348204 0.031185129939616803
23.1 -1.0 -1.0 -1.0 0.0 0.620610951563109 1.669102020485596 1.008649999127957 0.032309077800887445
24.1 -1.0 -1.0 -1.0 0.0 0.5848325634471168 1.6323592098749309 0.999077901585229 0.03352401831548476
25.1 -1.0 -1.0 -1.0 0.0 0.6077958614226044 1.6277309700211446 0.9990895087718071 0.03315175047876331
26.1 -1.0 -1.0 -1.0 0.0 0.578694770444834 1.5896112395851272 0.9915995347297378 0.03491785014418421
27.1 -1.0 0.0 -0.98 0.019797979797979762 0.5665319770481115 1.5516218913240278 0.9846536518675896 0.03554771912587274
28.1 -1.0 0.0 -0.98 0.019797979797979762 0.5512380244141891 1.5255195189760908 0.9744771446663997 0.037717815895145605
29.1 -1.0 0.0 -0.97 0.029393939393939368 0.5487679849733302 1.479134652766397 0.9659866477966549 0.037780868816401636
30.1 -1.0 0.0 -0.99 0.009999999999999992 0.5336835742520787 1.510244132365922 0.967877166322893 0.037871287088957574
31.1 -1.0 0.0 -0.98 0.019797979797979794 0.5497586101595316 1.577364378987393 0.9690055543368314 0.03681718733060431
32.1 -1.0 0.0 -0.95 0.04797979797979794 0.5137763209569093 1.5488467538233752 0.9691123926774102 0.03761171072798056
33.1 -1.0 0.0 -0.95 0.04797979797979794 0.4920075504717293 1.512985563045115 0.9546967940058869 0.03999544953515538
34.1 -1.0 0.0 -0.95 0.04797979797979796 0.4854260997505202 1.4778846685304343 0.9426779897034463 0.0415056586724024
35.1 -1.0 0.0 -0.95 0.04797979797979796 0.4742742705091212 1.443551052611597 0.9321305170945359 0.04299109705454731
